trial,name,method,seed,base_lr,classifier_lr,grad_weight,cam_weight,abn_cls_weight,abn_att_weight,weight_decay,best_balanced_val_acc,test_acc,balanced_test_acc,per_group,worst_group,checkpoint,log_path,seconds,sampler,run_dir
0,abn_att_waterbird_complete95_forest2water2_21049292_trial_000,abn_att,0,7.732927639412404e-06,1.6884577147932012e-05,,,,0.1519038617875141,0.0002374468244560546,0.6286455689061883,67.53538142906454,60.70677138377161,60.70677138377161,8.722741433021806,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_000/best_balanced_valacc_0.63_epoch_198.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_000.log,3572,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_000
1,abn_att_waterbird_complete95_forest2water2_21049292_trial_001,abn_att,0,3.120349415273752e-05,0.00011014586274665786,,,,3.6992133031548184,4.684639085758213e-05,0.7515130269403412,81.89506385916465,76.67146735188678,76.67146735188678,42.523364485981304,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_001/best_balanced_valacc_0.75_epoch_191.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_001.log,3558,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_001
2,abn_att_waterbird_complete95_forest2water2_21049292_trial_002,abn_att,0,0.0005975893747455524,0.0002479843767173225,,,,0.13760094487155386,1.4486888930293198e-05,0.847041236531844,88.0048325854332,84.244997271553,84.244997271553,63.55140186915887,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_002/best_balanced_valacc_0.85_epoch_142.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_002.log,3464,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_002
3,abn_att_waterbird_complete95_forest2water2_21049292_trial_003,abn_att,0,0.00019924474421524645,2.4283039951414716e-05,,,,0.6630660309349748,0.00011165736204389927,0.8409145854991176,85.5712806351398,83.93524946294492,83.93524946294492,69.47040498442367,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_003/best_balanced_valacc_0.84_epoch_121.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_003.log,3525,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_003
4,abn_att_waterbird_complete95_forest2water2_21049292_trial_004,abn_att,0,2.6077418024775014e-05,0.008147769845585535,,,,4.128086923082281,9.557594667838887e-05,0.7721655424735472,82.53365550569555,76.91454089562136,76.91454089562136,43.30218068535825,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_004/best_balanced_valacc_0.77_epoch_66.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_004.log,3494,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_004
5,abn_att_waterbird_complete95_forest2water2_21049292_trial_005,abn_att,0,1.0971309889598148e-05,0.000299611359137979,,,,0.10834562554743163,0.0003414577275129422,0.7512732796621779,78.9264756644805,74.95957408597026,74.95957408597026,43.30218068535825,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_005/best_balanced_valacc_0.75_epoch_173.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_005.log,3546,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_005
6,abn_att_waterbird_complete95_forest2water2_21049292_trial_006,abn_att,0,3.5483030153797422e-06,3.671993700197696e-05,,,,1.382192879866612,0.00029615676232567557,0.639091700311873,70.45219192267864,63.91739367691043,63.91739367691043,14.953271028037381,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_006/best_balanced_valacc_0.64_epoch_199.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_006.log,3558,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_006
7,abn_att_waterbird_complete95_forest2water2_21049292_trial_007,abn_att,0,7.044405373287935e-06,0.005239938925366423,,,,2.578615720171929,0.0002515379309710181,0.7689662258540242,80.61788056610285,76.01819425161116,76.01819425161116,44.23676012461059,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_007/best_balanced_valacc_0.77_epoch_168.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_007.log,3530,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_007
8,abn_att_waterbird_complete95_forest2water2_21049292_trial_008,abn_att,0,2.491360538102001e-05,0.0006346468535256955,,,,3.281655908419687,1.1392176279300927e-06,0.7606637171707404,80.53158439765275,77.46689599436351,77.46689599436351,51.4018691588785,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_008/best_balanced_valacc_0.76_epoch_170.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_008.log,3478,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_008
9,abn_att_waterbird_complete95_forest2water2_21049292_trial_009,abn_att,0,0.0009649408757733444,2.3949014980125773e-05,,,,0.13321271720711966,3.119289186302204e-05,0.8637107237547244,87.3489817052123,84.93788465922042,84.93788465922042,69.1588785046729,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_009/best_balanced_valacc_0.86_epoch_20.ckpt,/home/ryreu/guided_cnn/logsWaterbird/abn95_vit_sweep_logs_21049292/abn_att_waterbird_complete95_forest2water2_21049292_trial_009.log,3489,tpe,trained_weights/waterbirds/abn_att_waterbird_complete95_forest2water2_21049292_trial_009
