trial,name,method,seed,base_lr,classifier_lr,grad_weight,cam_weight,abn_cls_weight,abn_att_weight,weight_decay,best_balanced_val_acc,test_acc,balanced_test_acc,per_group,worst_group,checkpoint,log_path,seconds,sampler,run_dir
0,gals_waterbird_1.0_forest2water2_21049287_trial_000,gals,0,0.0005312350539898999,1.618890111127494e-05,2.2753365020373035,,,,1.748649702014269e-05,0.6463239655642303,63.16879530548844,63.138508402926,63.138508402926,26.962305986696233,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_000/best_balanced_valacc_0.65_epoch_170.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_000.log,11896,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_000
1,gals_waterbird_1.0_forest2water2_21049287_trial_001,gals,0,8.96781548073233e-06,1.228290128729093e-05,92501.54237583175,,,,9.741139579473068e-06,0.604567789409558,69.72730410769762,57.96445766071934,57.96445766071934,2.1806853582554515,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_001/best_balanced_valacc_0.6_epoch_35.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_001.log,12010,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_001
2,gals_waterbird_1.0_forest2water2_21049287_trial_002,gals,0,5.108716382304937e-05,2.2042711913270393e-05,493.2863203539814,,,,0.00026797994674602956,0.6311160363595556,62.202278218847084,61.54276408949306,61.54276408949306,25.54517133956386,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_002/best_balanced_valacc_0.63_epoch_190.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_002.log,12012,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_002
3,gals_waterbird_1.0_forest2water2_21049287_trial_003,gals,0,0.00012151708781071634,5.3892373658932455e-05,20723.203907451174,,,,2.0652265431373917e-05,0.6636240120557257,63.03072143596824,64.24755303202988,64.24755303202988,24.7450110864745,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_003/best_balanced_valacc_0.66_epoch_106.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_003.log,12018,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_003
4,gals_waterbird_1.0_forest2water2_21049287_trial_004,gals,0,0.00026125231481779375,0.0001464011827346531,29124.544536787304,,,,4.185352486664349e-05,0.6740264841207497,63.876423886779435,65.347876991939,65.347876991939,26.075388026607538,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_004/best_balanced_valacc_0.67_epoch_119.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_004.log,12021,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_004
5,gals_waterbird_1.0_forest2water2_21049287_trial_005,gals,0,1.146813465873032e-06,1.86418636603293e-05,61553.99742726978,,,,6.781989771460825e-06,0.6066879619090371,70.43493268898861,58.80896381181313,58.80896381181313,2.803738317757009,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_005/best_balanced_valacc_0.61_epoch_35.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_005.log,12035,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_005
6,gals_waterbird_1.0_forest2water2_21049287_trial_006,gals,0,1.2161606274393694e-06,1.92984070211971e-05,27.005040819061723,,,,6.393788545105136e-05,0.5973916668002629,62.21953745253711,57.988495624123615,57.988495624123615,9.190031152647975,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_006/best_balanced_valacc_0.6_epoch_189.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_006.log,11968,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_006
7,gals_waterbird_1.0_forest2water2_21049287_trial_007,gals,0,0.0002420544681110619,0.00045806806626916274,5.648948015186396,,,,6.294108117055775e-06,0.646295910351572,62.909906800138074,62.94435694994163,62.94435694994163,26.518847006651885,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_007/best_balanced_valacc_0.65_epoch_153.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_007.log,12002,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_007
8,gals_waterbird_1.0_forest2water2_21049287_trial_008,gals,0,0.0007524789835523324,3.442794125741587e-05,2.723987398940137,,,,4.9259789177810466e-05,0.6486705837087388,62.85812909906801,63.774581925938215,63.774581925938215,24.833702882483372,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_008/best_balanced_valacc_0.65_epoch_103.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_008.log,11957,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_008
9,gals_waterbird_1.0_forest2water2_21049287_trial_009,gals,0,1.3795646218656026e-06,0.001680064138657397,3417.91632257968,,,,5.39756675779074e-06,0.652061256552896,66.7069382119434,64.29706225694373,64.29706225694373,26.168224299065418,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_009/best_balanced_valacc_0.65_epoch_184.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_009.log,11984,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_009
10,gals_waterbird_1.0_forest2water2_21049287_trial_010,gals,0,3.0035516520556e-05,0.007805600791501267,2309.372487459599,,,,1.278860487738346e-06,0.6679765779053177,66.2064204349327,65.70252329541137,65.70252329541137,33.968957871396896,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_010/best_balanced_valacc_0.67_epoch_153.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_010.log,11967,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_010
11,gals_waterbird_1.0_forest2water2_21049287_trial_011,gals,0,1.4710180495617079e-05,0.00944335861407119,3212.4150416682523,,,,1.0400762438655892e-06,0.6669024640492489,66.48256817397308,65.6570722036872,65.6570722036872,33.64485981308411,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_011/best_balanced_valacc_0.67_epoch_191.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_011.log,11961,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_011
12,gals_waterbird_1.0_forest2water2_21049287_trial_012,gals,0,6.325390071066787e-05,0.000169868585092707,4415.3400534126185,,,,1.256446018432045e-06,0.6487266941340559,63.4967207455989,63.34915141844706,63.34915141844706,27.982261640798228,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_012/best_balanced_valacc_0.65_epoch_165.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_012.log,11955,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_012
13,gals_waterbird_1.0_forest2water2_21049287_trial_013,gals,0,1.7420167853903465e-05,0.007182665135738836,256.3672858996746,,,,0.00017643560782881014,0.6663654071212146,66.17190196755264,65.54107866907046,65.54107866907046,34.1019955654102,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_013/best_balanced_valacc_0.67_epoch_170.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_013.log,11928,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_013
14,gals_waterbird_1.0_forest2water2_21049287_trial_014,gals,0,4.116131814730579e-06,0.0004682453637586427,505.36517439270085,,,,0.0009549484473697344,0.64423184827741,64.84294097342078,63.6846640556465,63.6846640556465,28.34890965732087,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_014/best_balanced_valacc_0.64_epoch_191.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_014.log,11941,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_014
15,gals_waterbird_1.0_forest2water2_21049287_trial_015,gals,0,0.00019088777710498295,0.00011163648609651334,15593.735127564323,,,,2.524059978019805e-06,0.6638785129134136,62.94442526751812,64.33139233686305,64.33139233686305,24.434589800443458,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_015/best_balanced_valacc_0.66_epoch_106.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gals100_sweep_logs_21049287/gals_waterbird_1.0_forest2water2_21049287_trial_015.log,11996,tpe,trained_weights/waterbirds/gals_waterbird_1.0_forest2water2_21049287_trial_015
