trial,name,method,seed,base_lr,classifier_lr,grad_weight,cam_weight,abn_cls_weight,abn_att_weight,weight_decay,best_balanced_val_acc,test_acc,balanced_test_acc,per_group,worst_group,checkpoint,log_path,seconds,sampler,run_dir
0,gradcam_waterbird_1.0_forest2water2_21049291_trial_000,gradcam,0,0.00017426090879089231,0.000981912010616909,,20.042939289518905,,,6.240004882263117e-06,0.6905029097263414,73.50707628581291,69.41720026800948,69.41720026800948,34.890965732087224,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_000/best_balanced_valacc_0.69_epoch_1.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_000.log,3176,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_000
1,gradcam_waterbird_1.0_forest2water2_21049291_trial_001,gradcam,0,6.459506711601147e-05,0.0009597847678374577,,47.77722111417002,,,0.00012025030512424577,0.7023442134119948,79.68588194684156,70.15505522514869,70.15505522514869,27.725856697819314,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_001/best_balanced_valacc_0.7_epoch_1.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_001.log,3098,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_001
2,gradcam_waterbird_1.0_forest2water2_21049291_trial_002,gradcam,0,1.1333161983260782e-06,0.0006752791194289792,,1.1413440084170559,,,4.0355265336109566e-06,0.6801304968177373,69.19226786330687,67.2862313584903,67.2862313584903,34.112149532710276,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_002/best_balanced_valacc_0.68_epoch_111.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_002.log,3146,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_002
3,gradcam_waterbird_1.0_forest2water2_21049291_trial_003,gradcam,0,3.956647091391961e-06,0.009057101480504058,,25.619506033155453,,,1.6442101547879745e-06,0.8262981547685846,85.76113220573006,82.2466688770541,82.2466688770541,65.57632398753894,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_003/best_balanced_valacc_0.83_epoch_0.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_003.log,3162,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_003
4,gradcam_waterbird_1.0_forest2water2_21049291_trial_004,gradcam,0,0.0007324374217616417,0.0005541712351256024,,17.870675486474536,,,1.387819552217562e-05,0.6687941869599372,70.10700724887815,66.31397172085569,66.31397172085569,30.218068535825545,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_004/best_balanced_valacc_0.67_epoch_0.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_004.log,3107,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_004
5,gradcam_waterbird_1.0_forest2water2_21049291_trial_005,gradcam,0,3.531575307271415e-05,0.00018848438065181047,,0.13518945183320338,,,0.00012110788577025671,0.6600329448354362,66.37901277183293,65.11702965372899,65.11702965372899,30.68535825545171,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_005/best_balanced_valacc_0.66_epoch_180.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_005.log,3132,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_005
6,gradcam_waterbird_1.0_forest2water2_21049291_trial_006,gradcam,0,6.989051553697057e-05,3.404213288587494e-05,,6.30442449664812,,,9.811527618339433e-05,0.6733471471856614,66.55160510873317,66.73202851399796,66.73202851399796,33.0820399113082,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_006/best_balanced_valacc_0.67_epoch_123.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_006.log,3107,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_006
7,gradcam_waterbird_1.0_forest2water2_21049291_trial_007,gradcam,0,2.179882751045157e-05,0.0010017843205194254,,5.915197038090899,,,2.587391237692873e-06,0.712412026868878,70.45219192267864,70.60243418916772,70.60243418916772,41.1529933481153,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_007/best_balanced_valacc_0.71_epoch_124.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_007.log,3164,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_007
8,gradcam_waterbird_1.0_forest2water2_21049291_trial_008,gradcam,0,4.016945829272271e-05,8.594922226705913e-05,,0.14144894985033152,,,0.0005192044400497757,0.6528247591259599,65.68864342423197,64.422881654475,64.422881654475,29.439252336448597,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_008/best_balanced_valacc_0.65_epoch_181.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_008.log,3157,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_008
9,gradcam_waterbird_1.0_forest2water2_21049291_trial_009,gradcam,0,3.486554457861989e-05,0.0018130864935181367,,3.5654859904101546,,,8.676518433822996e-06,0.7368621447007712,74.83603727994476,74.03119409273957,74.03119409273957,50.77881619937694,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_009/best_balanced_valacc_0.74_epoch_91.ckpt,/home/ryreu/guided_cnn/logsWaterbird/gradcam100_vit_sweep_logs_21049291/gradcam_waterbird_1.0_forest2water2_21049291_trial_009.log,3109,tpe,trained_weights/waterbirds/gradcam_waterbird_1.0_forest2water2_21049291_trial_009
