name,status,seconds,log
gals95_rn50,PASS,248,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gals95_rn50.log
gals100_rn50,PASS,167,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gals100_rn50.log
rrr95_vit,PASS,172,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/rrr95_vit.log
rrr100_vit,PASS,165,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/rrr100_vit.log
gradcam95_vit,PASS,113,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gradcam95_vit.log
gradcam100_vit,PASS,107,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gradcam100_vit.log
abn95_vit,PASS,144,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/abn95_vit.log
abn100_vit,PASS,144,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/abn100_vit.log
gals95_vit,PASS,151,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gals95_vit.log
gals100_vit,PASS,151,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gals100_vit.log
gals95_ourmasks,PASS,154,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gals95_ourmasks.log
gals100_ourmasks,PASS,155,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/gals100_ourmasks.log
upweight95,PASS,104,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/upweight95.log
upweight100,PASS,106,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/upweight100.log
abn95_baseline,PASS,132,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/abn95_baseline.log
abn100_baseline,PASS,127,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/abn100_baseline.log
guided95_galsvit,PASS,26,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/guided95_galsvit.log
guided100_galsvit,PASS,34,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/guided100_galsvit.log
clip_lr95,FAIL,125,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/clip_lr95.log
clip_lr100,FAIL,90,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/clip_lr100.log
vanilla95,PASS,32,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/vanilla95.log
vanilla100,PASS,26,/home/ryreu/guided_cnn/logsWaterbird/smoke_debug_21050491/vanilla100.log
