dataset,variant,seed,model_name,pretrained,split,n,acc,balanced_group_acc,worst_group_acc,group_accs,balanced_class_acc,worst_class_acc,class_accs,class_names
decoymnist,openai_vit,0,ViT-B/32,openai,test,10000,16.96,,,,17.149418014989035,0.0,"[1.0000e+02,0.0000e+00,0.0000e+00,9.9010e-02,0.0000e+00,1.0090e+00,
 5.3236e+00,3.9105e+01,2.5462e+01,4.9554e-01]",0|1|2|3|4|5|6|7|8|9
waterbirds95,openai_vit,0,ViT-B/32,openai,test,5794,70.33137728684846,76.03998729027222,44.390243902439025,"[87.184 ,44.3902,76.947 ,95.6386]",76.03998729027222,65.78713968957871,"[65.7871,86.2928]",landbird|waterbird
waterbirds100,openai_vit,0,ViT-B/32,openai,test,5794,70.60752502588885,76.13380787588675,45.05543237250554,"[87.3614,45.0554,77.4143,94.704 ]",76.13380787588675,66.20842572062085,"[66.2084,86.0592]",landbird|waterbird
redmeat,openai_vit,0,ViT-B/32,openai,test,1250,67.28,,,,67.28,28.799999999999997,"[84.8,28.8,56. ,88.4,78.4]",prime_rib|pork_chop|steak|baby_back_ribs|filet_mignon
decoymnist,openclip_laion,0,ViT-B-32,laion2b_s34b_b79k,test,10000,65.23,,,,64.77080436148678,28.642220019821607,"[78.2653,68.4581,71.6085,95.9406,86.8635,41.704 ,39.666 ,86.8677,49.692 ,
 28.6422]",0|1|2|3|4|5|6|7|8|9
waterbirds95,openclip_laion,0,ViT-B-32,laion2b_s34b_b79k,test,5794,60.57991025198481,67.35280201145258,27.095343680709533,"[83.2816,27.0953,64.486 ,94.5483]",67.35280201145257,55.188470066518846,"[55.1885,79.5171]",landbird|waterbird
waterbirds100,openclip_laion,0,ViT-B-32,laion2b_s34b_b79k,test,5794,61.40835346910597,68.30276781952188,27.31707317073171,"[84.5233,27.3171,66.8224,94.5483]",68.30276781952188,55.92017738359202,"[55.9202,80.6854]",landbird|waterbird
redmeat,openclip_laion,0,ViT-B-32,laion2b_s34b_b79k,test,1250,73.83999999999999,,,,73.84,54.0,"[80.8,85.6,54. ,85.2,63.6]",prime_rib|pork_chop|steak|baby_back_ribs|filet_mignon
decoymnist,siglip2,0,ViT-B-16-SigLIP2-256,webli,test,10000,79.12,,,,78.73350932484,58.27552031714569,"[99.4898,91.3656,63.469 ,96.4356,89.2057,60.3139,59.9165,93.0934,75.77  ,
 58.2755]",0|1|2|3|4|5|6|7|8|9
waterbirds95,siglip2,0,ViT-B-16-SigLIP2-256,webli,test,5794,79.96202968588196,74.76127815653687,53.58255451713395,"[96.3636,71.8404,53.5826,77.2586]",74.76127815653687,65.42056074766354,"[84.102 ,65.4206]",landbird|waterbird
waterbirds100,siglip2,0,ViT-B-16-SigLIP2-256,webli,test,5794,80.47980669658267,74.89889204329597,51.71339563862928,"[96.408 ,73.4368,51.7134,78.0374]",74.89889204329597,64.8753894080997,"[84.9224,64.8754]",landbird|waterbird
redmeat,siglip2,0,ViT-B-16-SigLIP2-256,webli,test,1250,84.56,,,,84.56,77.60000000000001,"[87.2,85.6,77.6,90. ,82.4]",prime_rib|pork_chop|steak|baby_back_ribs|filet_mignon
